ElementID, Easting, Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
GW053390_ECON_20,4.002040e+05,6.457682e+06,-8.727013e-68,-1.984161e-67,-4.926759e-67,-1.113386e-66,-2.498826e-66,-5.631141e-66,-1.299646e-65,-3.069068e-65,-5.903683e-65,-3.974939e-24,-1.296917e-23,-2.612167e-23,-3.558593e-23,-2.283873e-23,3.731478e-23,1.665051e-22,3.892883e-22,9.165908e-22,2.727579e-21,9.134421e-21,2.827960e-20,7.182944e-20,1.277632e-19,3.131229e-20,-9.827019e-19,-5.595505e-18,-2.185748e-17,-4.973855e-10,-5.128464e-08,-1.024900e-06,-8.262448e-06,-3.837093e-05,-1.239418e-04,-3.107250e-04,-6.482643e-04,-1.179639e-03,-1.934694e-03,-2.927738e-03,-4.158600e-03,-5.615470e-03,-7.278271e-03,-9.122317e-03,-1.111942e-02
GW053451_ECON_117,3.998510e+05,6.456231e+06,-6.412818e-65,-1.220585e-64,-2.610231e-64,-5.294253e-64,-1.498836e-63,-4.780180e-63,6.387860e-63,1.913210e-61,-3.973421e-58,2.978387e-22,6.469395e-22,1.105394e-21,1.045982e-21,-3.194511e-22,-2.383332e-21,3.940015e-21,5.701335e-20,2.273047e-19,8.361843e-19,2.129771e-18,3.575001e-18,-1.535944e-19,-3.180694e-17,-1.671617e-16,-6.247252e-16,-1.973313e-15,-5.580737e-15,-1.029988e-07,-3.591815e-06,-3.444376e-05,-1.644074e-04,-5.147043e-04,-1.220064e-03,-2.384572e-03,-4.058969e-03,-6.241519e-03,-8.891044e-03,-1.194241e-02,-1.531964e-02,-1.894530e-02,-2.274646e-02,-2.665946e-02,-3.062631e-02
GW054253_ECON_19,4.032280e+05,6.413304e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.118238e-20,-1.421069e-07
GW057663_ECON_115,4.018810e+05,6.460685e+06,-1.178967e-51,-6.096520e-51,-7.678834e-51,1.121403e-49,-1.182450e-48,-6.548239e-47,-4.760898e-43,-1.197494e-39,-5.699208e-37,9.147416e-27,1.972706e-26,3.605898e-26,4.706855e-26,3.919007e-26,-4.572560e-27,-9.618745e-26,-2.270014e-25,-4.180268e-25,-7.189933e-25,-1.227838e-24,-1.505929e-24,3.875178e-24,5.476689e-23,3.260532e-21,1.837015e-19,4.284521e-18,5.350711e-17,1.635098e-13,1.371134e-11,1.285887e-10,-2.089574e-09,-4.031731e-08,-3.035170e-07,-1.431244e-06,-4.953015e-06,-1.370183e-05,-3.199770e-05,-6.550302e-05,-1.207967e-04,-2.048013e-04,-3.242037e-04,-4.849734e-04,-6.920159e-04
GW063052_ECON_114,4.011830e+05,6.459539e+06,-9.859689e-52,-5.530235e-51,-1.057538e-50,8.768584e-50,-6.243582e-49,-4.279225e-47,-2.155789e-43,-6.260010e-40,-3.326818e-37,3.042895e-26,2.783605e-26,2.377698e-26,-2.215814e-26,-1.022163e-25,-1.790805e-25,-1.628849e-25,1.051595e-25,3.836805e-25,8.328575e-25,2.784554e-24,1.263541e-23,5.858192e-23,2.369697e-22,2.638231e-21,1.292382e-19,3.238126e-18,4.296361e-17,-8.749525e-14,-1.042627e-10,-6.416811e-09,-1.105687e-07,-8.965694e-07,-4.455800e-06,-1.577973e-05,-4.371358e-05,-1.007692e-04,-2.018014e-04,-3.621195e-04,-5.956797e-04,-9.137638e-04,-1.324263e-03,-1.831525e-03,-2.436502e-03
GW071556_ECON_51,3.998950e+05,6.446100e+06,-7.223425e-13,-4.126721e-08,-2.188833e-06,-1.942428e-05,-8.302052e-05,-2.436639e-04,-5.675497e-04,-1.127496e-03,-1.994308e-03,-3.234645e-03,-4.894749e-03,-7.027028e-03,-9.667275e-03,-1.285601e-02,-1.675605e-02,-2.170481e-02,-2.805273e-02,-3.604668e-02,-4.594112e-02,-5.802194e-02,-7.261932e-02,-8.988866e-02,-1.096178e-01,-1.314552e-01,-1.550549e-01,-1.800846e-01,-2.062795e-01,-3.460454e-01,-4.629763e-01,-5.324282e-01,-5.688282e-01,-5.856920e-01,-5.911500e-01,-5.898563e-01,-5.845384e-01,-5.768598e-01,-5.678577e-01,-5.581957e-01,-5.483027e-01,-5.384531e-01,-5.288242e-01,-5.200351e-01,-5.110007e-01
GW078141_ECON_27,4.014230e+05,6.426930e+06,2.136782e-59,7.543571e-59,3.529685e-58,1.352834e-57,-1.192655e-57,-1.076634e-55,-1.452959e-54,-1.245401e-02,-7.090015e-02,-1.572975e-01,-2.538227e-01,-3.444620e-01,-4.765559e-01,-6.278863e-01,-7.658020e-01,-9.246341e-01,-1.229382e+00,-1.536881e+00,-1.765963e+00,-1.962090e+00,-2.136424e+00,-2.274870e+00,-2.390074e+00,-2.485911e+00,-2.550815e+00,-2.619687e+00,-2.654376e+00,-2.577718e+00,-2.410965e+00,-2.239880e+00,-2.081945e+00,-1.942047e+00,-1.818525e+00,-1.709229e+00,-1.612360e+00,-1.525933e+00,-1.448282e+00,-1.378395e+00,-1.315150e+00,-1.257367e+00,-1.204460e+00,-1.156245e+00,-1.110131e+00
GW078143_ECON_23,4.048840e+05,6.445501e+06,-1.338861e-06,-1.369483e-04,-9.363978e-04,-3.074093e-03,-7.279235e-03,-1.412664e-02,-2.391915e-02,-3.673714e-02,-5.252120e-02,-7.117204e-02,-9.248447e-02,-1.160162e-01,-1.411069e-01,-1.671952e-01,-1.938684e-01,-2.207160e-01,-2.472940e-01,-2.731879e-01,-2.982100e-01,-3.235845e-01,-3.509905e-01,-3.804535e-01,-4.115104e-01,-4.437176e-01,-4.770378e-01,-5.115852e-01,-5.467656e-01,-7.048497e-01,-7.743825e-01,-7.927788e-01,-7.911339e-01,-7.797938e-01,-7.633514e-01,-7.443926e-01,-7.244825e-01,-7.045768e-01,-6.852317e-01,-6.667494e-01,-6.492687e-01,-6.328569e-01,-6.176747e-01,-6.034841e-01,-5.897649e-01
GW078171_ECON_139,4.011220e+05,6.444326e+06,-8.437406e-07,-1.164459e-04,-9.152803e-04,-3.128704e-03,-7.483691e-03,-1.451432e-02,-2.442044e-02,-3.716138e-02,-5.257892e-02,-7.062331e-02,-9.083287e-02,-1.131690e-01,-1.382742e-01,-1.715530e-01,-2.145399e-01,-2.633247e-01,-3.169666e-01,-3.791702e-01,-4.467268e-01,-5.211235e-01,-5.966243e-01,-6.672402e-01,-7.350018e-01,-8.005291e-01,-8.634665e-01,-9.245290e-01,-9.825637e-01,-1.182811e+00,-1.185136e+00,-1.139999e+00,-1.086033e+00,-1.032095e+00,-9.808691e-01,-9.336155e-01,-8.904262e-01,-8.512488e-01,-8.157915e-01,-7.837098e-01,-7.546330e-01,-7.282525e-01,-7.042949e-01,-6.829374e-01,-6.624744e-01
GW078172_ECON_175,4.011460e+05,6.444480e+06,-7.050421e-06,-3.767703e-04,-2.094709e-03,-6.088191e-03,-1.319219e-02,-2.380985e-02,-3.790905e-02,-5.524867e-02,-7.553884e-02,-9.864013e-02,-1.241375e-01,-1.516584e-01,-1.853541e-01,-2.350463e-01,-2.982546e-01,-3.661238e-01,-4.415970e-01,-5.295219e-01,-6.235661e-01,-7.258800e-01,-8.220257e-01,-9.065210e-01,-9.877348e-01,-1.065632e+00,-1.139466e+00,-1.209744e+00,-1.275039e+00,-1.446046e+00,-1.374306e+00,-1.283263e+00,-1.199866e+00,-1.125178e+00,-1.058747e+00,-9.999722e-01,-9.477778e-01,-9.014387e-01,-8.601988e-01,-8.233516e-01,-7.903217e-01,-7.606542e-01,-7.339120e-01,-7.099663e-01,-6.873875e-01
