# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 399175.36,6420985.62,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.34056e-36,8.84618e-37,8.14876e-37,-5.10287e-37,-2.58987e-36,-5.31085e-36,-9.11460e-36,-1.05845e-09,-4.21427e-09,-1.40234e-08,-3.92102e-08,-9.86488e-08,-2.22740e-07,-4.62430e-07,-8.95620e-07,-1.63937e-06,-2.85071e-06,-4.74813e-06,-3.77428e-05,-1.73096e-04,-5.49504e-04,-1.34188e-03,-2.70707e-03,-4.74262e-03,-7.47507e-03,-1.08705e-02,-1.48536e-02,-1.93269e-02,-2.41854e-02,-2.93263e-02,-3.46554e-02,-4.00895e-02,-4.55575e-02,-5.10356e-02
 400343.85,6421055.38,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.59122e-37,-7.98405e-37,-2.58431e-36,-6.26890e-36,-1.14646e-35,-1.83779e-35,-2.78582e-35,-6.27146e-09,-2.23519e-08,-6.73559e-08,-1.71073e-07,-3.99214e-07,-8.42227e-07,-1.64659e-06,-3.02127e-06,-5.27695e-06,-8.78600e-06,-1.40688e-05,-9.58292e-05,-3.91147e-04,-1.12830e-03,-2.54272e-03,-4.79417e-03,-7.93225e-03,-1.19092e-02,-1.66135e-02,-2.19026e-02,-2.76277e-02,-3.36483e-02,-3.98406e-02,-4.60995e-02,-5.23395e-02,-5.84924e-02,-6.44919e-02
 400762.41,6422398.28,2.57915e-65,5.38184e-65,1.22024e-64,2.42734e-64,4.68644e-64,8.89628e-64,1.65606e-63,2.50373e-20,-2.69172e-16,-4.20758e-12,-6.21800e-10,-1.41741e-08,-1.26122e-07,-6.50436e-07,-2.36228e-06,-6.73240e-06,-1.63612e-05,-3.45093e-05,-6.60609e-05,-1.16906e-04,-1.94817e-04,-3.08379e-04,-4.68434e-04,-6.87670e-04,-9.81238e-04,-1.36302e-03,-1.84919e-03,-6.34230e-03,-1.50429e-02,-2.78741e-02,-4.37547e-02,-6.13437e-02,-7.94947e-02,-9.73850e-02,-1.14487e-01,-1.30496e-01,-1.45263e-01,-1.58740e-01,-1.70942e-01,-1.81922e-01,-1.91753e-01,-2.00519e-01,-2.08175e-01
 400221.77,6422032.03,3.32241e-66,7.12651e-66,1.64993e-65,3.36605e-65,6.65973e-65,1.29205e-64,2.45102e-64,1.70893e-22,-1.11005e-19,-2.30242e-14,-1.03318e-11,-4.53303e-10,-6.19248e-09,-4.32187e-08,-1.96920e-07,-6.70133e-07,-2.08447e-06,-5.02511e-06,-1.07612e-05,-2.08299e-05,-3.78296e-05,-6.44104e-05,-1.04189e-04,-1.61566e-04,-2.42783e-04,-3.53148e-04,-5.00000e-04,-2.06552e-03,-5.70074e-03,-1.19491e-02,-2.07281e-02,-3.15196e-02,-4.36575e-02,-5.65154e-02,-6.95847e-02,-8.24879e-02,-9.49630e-02,-1.06840e-01,-1.18016e-01,-1.28442e-01,-1.38100e-01,-1.46996e-01,-1.55048e-01
 400012.49,6423287.72,1.41352e-63,2.75815e-63,5.94994e-63,1.11379e-62,2.03389e-62,3.67374e-62,5.20918e-62,5.22913e-16,-2.47997e-10,-6.73659e-08,-1.33284e-06,-9.10446e-06,-3.60279e-05,-1.02654e-04,-2.35637e-04,-4.67108e-04,-8.34369e-04,-1.38034e-03,-2.14738e-03,-3.18837e-03,-4.56746e-03,-6.35866e-03,-8.62598e-03,-1.14208e-02,-1.47785e-02,-1.87288e-02,-2.32686e-02,-5.40673e-02,-9.41966e-02,-1.37125e-01,-1.78268e-01,-2.15380e-01,-2.47714e-01,-2.75294e-01,-2.98492e-01,-3.17804e-01,-3.33738e-01,-3.46770e-01,-3.57325e-01,-3.65773e-01,-3.72430e-01,-3.77566e-01,-3.81722e-01
 398826.56,6422485.48,3.94000e-66,8.44258e-66,1.95307e-65,3.98065e-65,7.86821e-65,1.52514e-64,2.89083e-64,1.08450e-24,-2.16520e-19,-3.02901e-14,-1.31046e-11,-5.63155e-10,-7.59116e-09,-5.24841e-08,-2.37431e-07,-8.03353e-07,-2.44258e-06,-5.85436e-06,-1.24696e-05,-2.40495e-05,-4.34851e-05,-7.37971e-05,-1.19051e-04,-1.84196e-04,-2.76134e-04,-4.00941e-04,-5.66774e-04,-2.32705e-03,-6.39898e-03,-1.33888e-02,-2.32145e-02,-3.53102e-02,-4.89370e-02,-6.33912e-02,-7.80937e-02,-9.26097e-02,-1.06633e-01,-1.19964e-01,-1.32483e-01,-1.44125e-01,-1.54873e-01,-1.64733e-01,-1.73652e-01
 397989.43,6422851.72,1.32060e-66,2.86686e-66,6.69842e-66,1.38165e-65,2.76312e-65,5.41496e-65,1.03718e-64,-2.64564e-24,-7.01887e-21,-1.83586e-15,-1.46993e-12,-8.99205e-11,-1.51960e-09,-1.22885e-08,-6.24049e-08,-2.30931e-07,-9.38680e-07,-2.43070e-06,-5.52777e-06,-1.11540e-05,-2.12121e-05,-3.74966e-05,-6.26483e-05,-9.98997e-05,-1.54273e-04,-2.29685e-04,-3.32207e-04,-1.50355e-03,-4.46917e-03,-9.95820e-03,-1.81633e-02,-2.87763e-02,-4.12166e-02,-5.48398e-02,-6.90594e-02,-8.33973e-02,-9.74916e-02,-1.11085e-01,-1.24005e-01,-1.36147e-01,-1.47455e-01,-1.57911e-01,-1.67461e-01
 397065.10,6424752.70,1.51676e-65,3.24059e-65,7.47951e-65,1.52018e-64,2.99656e-64,5.79433e-64,1.09637e-63,5.31345e-22,-8.83652e-19,-1.34073e-13,-5.68214e-11,-2.38864e-09,-3.15653e-08,-2.14470e-07,-9.55377e-07,-3.18781e-06,-9.29058e-06,-2.19079e-05,-4.59216e-05,-8.74209e-05,-1.55822e-04,-2.61080e-04,-4.16104e-04,-6.36439e-04,-9.43148e-04,-1.35490e-03,-1.89549e-03,-7.39668e-03,-1.93234e-02,-3.84108e-02,-6.33517e-02,-9.18696e-02,-1.21739e-01,-1.51247e-01,-1.79258e-01,-2.05115e-01,-2.28507e-01,-2.49350e-01,-2.67704e-01,-2.83708e-01,-2.97544e-01,-3.09410e-01,-3.19329e-01
 396507.02,6426828.07,3.18390e-64,6.41787e-64,1.41741e-63,2.73020e-63,5.11221e-63,9.46481e-63,1.72698e-62,2.22907e-19,-1.16137e-13,-3.55694e-10,-2.42432e-08,-3.52829e-07,-2.33998e-06,-9.77914e-06,-3.02426e-05,-7.58759e-05,-1.64370e-04,-3.17198e-04,-5.63355e-04,-9.35377e-04,-1.47270e-03,-2.21868e-03,-3.22762e-03,-4.55937e-03,-6.27687e-03,-8.43274e-03,-1.10859e-02,-3.29937e-02,-6.92680e-02,-1.15454e-01,-1.65385e-01,-2.14250e-01,-2.59212e-01,-2.98975e-01,-3.33209e-01,-3.62110e-01,-3.86133e-01,-4.05825e-01,-4.21745e-01,-4.34417e-01,-4.44314e-01,-4.51855e-01,-4.57470e-01
 398442.87,6423549.33,1.15453e-64,2.35943e-64,5.26617e-64,1.02756e-63,1.94688e-63,3.63248e-63,6.60587e-63,-5.46181e-20,-3.20474e-14,-1.30259e-10,-9.91245e-09,-1.51589e-07,-1.03113e-06,-4.37263e-06,-1.36492e-05,-3.44642e-05,-7.51973e-05,-1.45994e-04,-2.60576e-04,-4.34449e-04,-6.87000e-04,-1.03980e-03,-1.51957e-03,-2.15576e-03,-2.98040e-03,-4.02075e-03,-5.30685e-03,-1.61275e-02,-3.47519e-02,-5.97221e-02,-8.83500e-02,-1.18136e-01,-1.47284e-01,-1.74692e-01,-1.99777e-01,-2.22306e-01,-2.42259e-01,-2.59743e-01,-2.74929e-01,-2.88017e-01,-2.99214e-01,-3.08723e-01,-3.16759e-01
 398076.63,6424665.50,9.21367e-64,1.83263e-63,4.00866e-63,7.63016e-63,1.41251e-62,2.58559e-62,4.41981e-62,-7.01014e-17,-1.04278e-11,-9.38917e-09,-3.32076e-07,-3.19149e-06,-1.58427e-05,-5.32525e-05,-1.38647e-04,-3.02891e-04,-5.84093e-04,-1.02868e-03,-1.68804e-03,-2.61854e-03,-3.88724e-03,-5.57581e-03,-7.77267e-03,-1.05592e-02,-1.40029e-02,-1.81631e-02,-2.30809e-02,-5.89708e-02,-1.09973e-01,-1.67761e-01,-2.24982e-01,-2.77339e-01,-3.22993e-01,-3.61585e-01,-3.93500e-01,-4.19439e-01,-4.40192e-01,-4.56523e-01,-4.69126e-01,-4.78606e-01,-4.85481e-01,-4.90191e-01,-4.93322e-01
 397884.79,6426078.15,9.43748e-63,1.81790e-62,3.88408e-62,7.18536e-62,1.29649e-61,2.27331e-61,2.40233e-61,4.37054e-15,-4.42782e-09,-8.26052e-07,-1.33842e-05,-8.04040e-05,-2.89756e-04,-7.66163e-04,-1.65358e-03,-3.11388e-03,-5.32253e-03,-8.46978e-03,-1.27204e-02,-1.83156e-02,-2.55428e-02,-3.47108e-02,-4.60036e-02,-5.95169e-02,-7.52516e-02,-9.32008e-02,-1.13128e-01,-2.34652e-01,-3.67717e-01,-4.86343e-01,-5.80821e-01,-6.51363e-01,-7.01708e-01,-7.36089e-01,-7.58236e-01,-7.71143e-01,-7.77126e-01,-7.77943e-01,-7.74927e-01,-7.69080e-01,-7.61161e-01,-7.51741e-01,-7.42404e-01
 397361.58,6427298.96,3.03644e-62,5.67045e-62,1.18758e-61,2.15243e-61,3.86342e-61,6.43540e-61,-8.29992e-61,-4.50399e-12,-1.93929e-07,-9.91012e-06,-8.67436e-05,-3.63544e-04,-1.02769e-03,-2.27393e-03,-4.30200e-03,-7.33430e-03,-1.15807e-02,-1.72624e-02,-2.45907e-02,-3.39739e-02,-4.57656e-02,-6.02788e-02,-7.75068e-02,-9.73418e-02,-1.19588e-01,-1.44169e-01,-1.70454e-01,-3.16998e-01,-4.58551e-01,-5.73627e-01,-6.59259e-01,-7.19743e-01,-7.60563e-01,-7.86551e-01,-8.01519e-01,-8.08382e-01,-8.09288e-01,-8.05844e-01,-7.99252e-01,-7.90384e-01,-7.79894e-01,-7.68292e-01,-7.56518e-01
 397431.34,6428327.93,3.59720e-61,6.45285e-61,1.33014e-60,2.45686e-60,4.87670e-60,-1.56564e-60,-2.29224e-58,-5.10411e-08,-4.45087e-05,-5.59204e-04,-2.32780e-03,-6.05265e-03,-1.20326e-02,-2.05486e-02,-3.21447e-02,-4.70993e-02,-6.53860e-02,-8.79338e-02,-1.16325e-01,-1.50867e-01,-1.91080e-01,-2.36204e-01,-2.84727e-01,-3.35234e-01,-3.87077e-01,-4.38900e-01,-4.89223e-01,-7.08695e-01,-8.51279e-01,-9.34733e-01,-9.79175e-01,-9.99044e-01,-1.00327e+00,-9.97564e-01,-9.85490e-01,-9.69428e-01,-9.50919e-01,-9.30976e-01,-9.10323e-01,-8.89436e-01,-8.68601e-01,-8.48046e-01,-8.28565e-01
