# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 400204.00,6457682.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,6.37880e-27,7.84378e-27,5.57062e-27,-1.29600e-26,-5.13776e-26,-9.47574e-26,-9.16889e-26,4.49702e-26,3.54888e-25,3.14004e-25,-3.15678e-24,-2.74614e-23,-1.67402e-22,-8.86996e-22,-4.19957e-21,-1.79114e-20,-6.94194e-20,-2.46807e-19,-5.09765e-17,-3.27824e-15,-9.91752e-14,-1.70446e-12,-1.85453e-11,-1.39263e-10,-7.75622e-10,-3.39311e-09,-1.21901e-08,-3.72235e-08,-9.92473e-08,-2.36050e-07,-5.09537e-07,-1.01243e-06,-2.28678e-06,-4.02181e-06
 399851.00,6456231.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.60558e-24,-4.08117e-24,-6.56505e-24,-4.30809e-24,9.10187e-24,3.35722e-23,3.72359e-23,-1.57251e-22,-1.63997e-21,-1.08608e-20,-6.24222e-20,-3.15738e-19,-1.41142e-18,-5.64094e-18,-2.04179e-17,-6.77209e-17,-2.07908e-16,-5.95961e-16,-5.19108e-14,-1.77450e-12,-3.16902e-11,-3.41423e-10,-2.46406e-09,-1.29626e-08,-5.30741e-08,-1.77700e-07,-5.05031e-07,-1.25385e-06,-2.78140e-06,-5.61296e-06,-1.04558e-05,-1.81942e-05,-3.14160e-05,-4.92701e-05
 403228.00,6413304.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-6.45177e-24,-1.78581e-07
 401881.00,6460685.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.66287e-09,-3.81626e-09
 401183.00,6459539.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.19238e-08,-4.54437e-08
 399895.00,6446100.00,-1.21692e-15,-1.56478e-09,-2.29528e-07,-3.35230e-06,-1.92003e-05,-6.84775e-05,-1.84283e-04,-4.10557e-04,-7.98104e-04,-1.40036e-03,-2.26932e-03,-3.45451e-03,-5.00164e-03,-6.95101e-03,-9.36171e-03,-1.23670e-02,-1.61733e-02,-2.09949e-02,-2.70328e-02,-3.44958e-02,-4.35617e-02,-5.43330e-02,-6.68023e-02,-8.08499e-02,-9.63006e-02,-1.12967e-01,-1.30671e-01,-2.29142e-01,-3.25149e-01,-3.95117e-01,-4.38918e-01,-4.64154e-01,-4.77225e-01,-4.82412e-01,-4.82459e-01,-4.79130e-01,-4.73580e-01,-4.66576e-01,-4.58642e-01,-4.50138e-01,-4.41315e-01,-4.32338e-01,-4.23347e-01
 401423.00,6426930.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.32628e-02,-7.72318e-02,-1.72753e-01,-2.80180e-01,-3.80830e-01,-5.26769e-01,-6.94756e-01,-8.48546e-01,-1.02331e+00,-1.36113e+00,-1.70169e+00,-1.95499e+00,-2.15901e+00,-2.33382e+00,-2.46264e+00,-2.56389e+00,-2.64497e+00,-2.70441e+00,-2.74995e+00,-2.76682e+00,-2.66303e+00,-2.47810e+00,-2.29444e+00,-2.12814e+00,-1.98120e+00,-1.85195e+00,-1.73802e+00,-1.63713e+00,-1.54730e+00,-1.46686e+00,-1.39445e+00,-1.32892e+00,-1.26941e+00,-1.21515e+00,-1.16504e+00,-1.11913e+00
 404884.00,6445501.00,-7.08236e-09,-1.18154e-05,-1.86328e-04,-8.81657e-04,-2.55854e-03,-5.70366e-03,-1.07038e-02,-1.77917e-02,-2.70672e-02,-3.85419e-02,-5.22005e-02,-6.79140e-02,-8.53713e-02,-1.04187e-01,-1.24016e-01,-1.44580e-01,-1.65589e-01,-1.86729e-01,-2.07729e-01,-2.28411e-01,-2.48631e-01,-2.68240e-01,-2.87124e-01,-3.05221e-01,-3.22522e-01,-3.39067e-01,-3.54927e-01,-4.25490e-01,-4.81125e-01,-5.21111e-01,-5.46811e-01,-5.60915e-01,-5.66320e-01,-5.65506e-01,-5.60390e-01,-5.52379e-01,-5.42479e-01,-5.31402e-01,-5.19649e-01,-5.07569e-01,-4.95404e-01,-4.83304e-01,-4.71434e-01
 401122.00,6444326.00,-9.24873e-07,-1.24777e-04,-9.69077e-04,-3.30307e-03,-7.90154e-03,-1.53448e-02,-2.58709e-02,-3.94688e-02,-5.60011e-02,-7.53449e-02,-9.73601e-02,-1.21647e-01,-1.49012e-01,-1.84960e-01,-2.30958e-01,-2.82921e-01,-3.39913e-01,-4.05760e-01,-4.76201e-01,-5.48308e-01,-6.17822e-01,-6.81051e-01,-7.40398e-01,-7.96652e-01,-8.49853e-01,-9.00512e-01,-9.47701e-01,-1.10071e+00,-1.08883e+00,-1.03858e+00,-9.83165e-01,-9.30070e-01,-8.81016e-01,-8.36170e-01,-7.95259e-01,-7.57905e-01,-7.23727e-01,-6.92373e-01,-6.63532e-01,-6.36928e-01,-6.12323e-01,-5.89455e-01,-5.68265e-01
 401146.00,6444480.00,-7.30288e-06,-3.88191e-04,-2.15939e-03,-6.29488e-03,-1.36876e-02,-2.47972e-02,-3.96379e-02,-5.80013e-02,-7.96176e-02,-1.04332e-01,-1.31927e-01,-1.61671e-01,-1.97885e-01,-2.50332e-01,-3.16446e-01,-3.87354e-01,-4.66048e-01,-5.57261e-01,-6.50994e-01,-7.43026e-01,-8.25995e-01,-8.97810e-01,-9.65257e-01,-1.02866e+00,-1.08826e+00,-1.14441e+00,-1.19529e+00,-1.31897e+00,-1.24674e+00,-1.15891e+00,-1.07889e+00,-1.00863e+00,-9.46979e-01,-8.92537e-01,-8.44101e-01,-8.00707e-01,-7.61591e-01,-7.26140e-01,-6.93853e-01,-6.64320e-01,-6.37204e-01,-6.12135e-01,-5.89047e-01
 399862.00,6446023.00,-8.13416e-16,-1.25507e-09,-1.96941e-07,-2.97051e-06,-1.73350e-05,-6.25916e-05,-1.69971e-04,-3.81376e-04,-7.45730e-04,-1.31492e-03,-2.13989e-03,-3.26934e-03,-4.74852e-03,-6.61734e-03,-8.93170e-03,-1.18158e-02,-1.54651e-02,-2.00868e-02,-2.58762e-02,-3.30365e-02,-4.17440e-02,-5.21055e-02,-6.41237e-02,-7.76930e-02,-9.26495e-02,-1.08815e-01,-1.26016e-01,-2.22098e-01,-3.16594e-01,-3.86245e-01,-4.30345e-01,-4.56110e-01,-4.69767e-01,-4.75531e-01,-4.76118e-01,-4.73285e-01,-4.68184e-01,-4.61587e-01,-4.54020e-01,-4.45847e-01,-4.37322e-01,-4.28656e-01,-4.19884e-01
 400610.00,6419041.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.24723e-15,-2.33150e-14,-1.71489e-13,-9.52942e-13,-4.27228e-12,-1.61112e-11,-5.27124e-11,-1.53174e-10,-4.02692e-10,-9.72063e-10,-2.18041e-09,-5.49641e-08,-5.69319e-07,-3.41608e-06,-1.40663e-05,-4.39121e-05,-1.11164e-04,-2.39493e-04,-4.54995e-04,-7.82724e-04,-1.24385e-03,-1.85394e-03,-2.62228e-03,-3.55209e-03,-4.64126e-03,-5.88330e-03,-7.26837e-03
